,S. No. ,Entry
,304,"Bloomberg(1/7, Suga) reports, ""Mitsubishi Heavy Industries (MHI) Ltd., Asia s largest aerospace company, plans to reduce satellite launch fees by about 35 percent next year to be competitive with rivals in the U.S. and Europe."" MHI currently ""charges about 10 billion yen ($92 million) to launch Japan s H-2A rocket,"" but intends ""to trim rates to about $60 million to $70 million,"" according to a company spokesman. Last year the company ""took over space-launch services, including those for the H-2A rocket, from the Japanese government,"" and with the price reductions ""plans to compete with bigger rivals including Arianespace, the European rocket-launch venture that controls more than half of the world market for launching commercial satellites."" Bloomberg notes, ""Japan has launched 13 H2A rockets, including a failed attempt in November 2003."" MHI ""sent two satellites into orbit for government-related firms since assuming control of the H-2A rocket project"" last April."
,305,"Bloomberg(1/7, Suga) reports, ""Mitsubishi Heavy Industries (MHI) Ltd., Asia s largest aerospace company, plans to reduce satellite launch fees by about 35 percent next year to be competitive with rivals in the U.S. and Europe."" MHI currently ""charges about 10 billion yen ($92 million) to launch Japan s H-2A rocket,"" but intends ""to trim rates to about $60 million to $70 million,"" according to a company spokesman. Last year the company ""took over space-launch services, including those for the H-2A rocket, from the Japanese government,"" and with the price reductions ""plans to compete with bigger rivals including Arianespace, the European rocket-launch venture that controls more than half of the world market for launching commercial satellites."" Bloomberg notes, ""Japan has launched 13 H2A rockets, including a failed attempt in November 2003."" MHI ""sent two satellites into orbit for government-related firms since assuming control of the H-2A rocket project"" last April."
,306,"The AP (12/1, Flaherty, Hess) reported, ""The U.S. is pursuing a multibillion-$program to develop the next generation of spy satellites, the first major effort of its kind since the Pentagon canceled the ambitious and costly Future Imagery Architecture system two years ago."" The new system, known as BASIC, ""would be launched by 2011 and is expected to cost $2 billion to $4 billion."" The Defense Department ""is in the initial stages of preparing the new program for bidders,"" and ""[t]he Pentagon s classified  request for information  on the technology was issued this fall to industry."" Meanwhile, ""the Pentagon is conducting a study to determine what satellite capabilities are feasible. The analysis will be completed by the end of the year."" Officials said ""the Pentagon is considering a range of options, but the new program is expected to be significantly less ambitious than the one it is meant to replace."""
,307,"""According to industry officials, the commercial aspects"" of the new project appear to be ""most feasible due to time constraints,"" according to Aero-News (12/2). ""A contract for $1 billion with the U.S. military for two commercial satellite companies to buy space imagery is eminent,"" and ""[c]osts are covered with two $500 million contracts that pay for a satellite, its launch, insurance and roughly $200 million in photo imagery."" However, Aero-News added, ""Due to the classified nature of the...satellite network, there is no oversight."""
,308,"""According to industry officials, the commercial aspects"" of the new project appear to be ""most feasible due to time constraints,"" according to Aero-News (12/2). ""A contract for $1 billion with the U.S. military for two commercial satellite companies to buy space imagery is eminent,"" and ""[c]osts are covered with two $500 million contracts that pay for a satellite, its launch, insurance and roughly $200 million in photo imagery."" However, Aero-News added, ""Due to the classified nature of the...satellite network, there is no oversight."""
,309,"The Financial Times (11/26, Laitner, subscription required) reports that the Galileo project, ""[a] long-delayed European Union rival to the U.S. Global Positioning System, has cleared a vital hurdle after EU member states agreed on how to finance the troubled satellite project."" A vote in Brussels on Friday decided that the EU would invest €2.4 billion towards the project, a sum ""reached by diverting unused farm subsidies from this year s budget and re-jigging research and industrial spending."" Some further barriers remain; ""[t]he European parliament must approve the spending plan and national transport ministers need to agree on a legal basis for Galileo."" Even so, the funding ""marks an important step for the satellite navigation system after years of political wrangling,"" and also comes ""after private contractors pulled out, saying they could not make it pay."""
,310,"The Oklahoman (11/6, Zizzo) reported that the NASA awarded a $1.4 million, three-year grant ""to establish the Center for Lightning Advanced Studies and Safety (CLASS) at"" the University of Oklahoma. ""The center will focus on improving ground-based observations of lightning by adding eight  moveable  monitoring stations to an existing  lightning mapping array  of 11 fixed stations operating in central Oklahoma."" The existing stations ""detect lightning locations by triangulating on the radio frequency emissions they produce."" They ""cover an area about 250 miles in diameter"" and ""can produce three-dimensional profiles of lightning in an area 100 miles in diameter."" With the added stations, the coverage area will increase and the data collection will improve. ""Researchers will use the improved system to cross-check visual satellite lightning data, gaining what they hope will be new insight into the shapes, behavior and even predictability of lightning."""
,311,"Bloomberg (11/5, Spears) reported, ""China s first lunar probe entered the moon s orbit [Monday], a week after its launch, bringing the nation a step closer to landing a man on the moon by 2020."" The Chang e I satellite, launched ""on October 24 aboard a Long March 3A rocket from the Xichang launch center in southern China, is the culmination of a 1.4 billion-yuan ($190-million) project approved by the government in 2004."" The probe ""fired retro-boosters...as it approached the moon, braking to enter the orbit around the celestial body,"" from which it will ""send its first pictures of the lunar surface to Earth late this month."" Bloomberg noted that China, which ""is pursuing an accelerated space program while developing its aerospace and defense industries,"" also hopes ""to land a rover on the moon by 2012, aiming to retrieve soil and rock samples."""
,312,"The Wall Street Journal (1/30, Barnes, Cameron, Subscription Publication) reports that when the Pentagon unveils its budget proposal on Monday, it will include a plan to add additional global positioning satellite launches for SpaceX and United launch Alliance (ULA) to compete for. The budget proposal will also ask for more money to guard satellites against cyberattacks. According to documents reviewed by the publication, the Pentagon will ask for $7.1 billion in total for military space spending. The article notes that NASA’s budget is not included in that figure"
,313,"AFP (10/27) reported that Wang Jing, “a mysterious Chinese tycoon who plans to dig a $40 billion canal linking the Caribbean and the Pacific,” will develop a constellation of communication satellites after one of his companies launched a test satellite last month. Xinwei Telecom Enterprise Group’s satellites aim to provide cheaper satellite communications to “China’s sea and desert areas” than foreign satellites do now. According to the article, this is the first time that a private company has a project “in China’s tightly controlled and mostly military-run space industry.”"
,314,"Space News (10/17, de Selding, Subscription Publication) reported that last week, the ESA formally agreed to manage Europe’s Copernicus satellite program for the European Commission for a sum of $4.1 billion between 2014 and 2020. However, the deal is “several months late in coming,” which resulted in Airbus requesting “special cash guarantees from ESA.”"
,315,"IDG News Service(7/17, Williams) reports ""two teams are turning to the Internet to fund satellites and take project supporters along for the ride into space."" One of those, SkyCube led by Tim DeBenedictis, is using a Kickstarter campaign to raise funds. Once launch, for three months the small CubeSat ""will take pictures of Earth with three VGA cameras and deliver 120-character messages to smartphones running a SkyCube app."" Backers will be able to send their own messages and images depending on their support. The second, Ardusat, ""just closed its Kickstarter funding after raising just over $100,000."" The article notes these CubeSat projects could be even cheaper in the future as the NASA-sponsored Nano Satellite Launch Challenge will help develop a launcher for these types of satellites."
,316,"Ariel Schwartz at Co.Exist(6/28) wrote about the ArduSat nano-satellite. The project, ""which has raised nearly $50,000 on Kickstarter at the time of writing, will reportedly be the first space-based open platform that allows users to run applications, games, and experiments, take pictures with onboard cameras, and send messages to Earth."" Schwartz noted, ""Created by a physicist, two aerospace engineers, and a NASA business manager, the project will allow users on Earth to upload their code via a web interface to a ground-based satellite replica."" Currently, a prototype has been developed and ""now they just need funding (which they have surpassed) to build and integrate all the hardware and software for the launch."""
,317,"In an article for the BBC News(7/16), Kenneth Macdonald writes about the start of the UK Space Conference in Glasgow, where UK science minister David Willetts is expected to announce “almost £200m of public investment in British space technology.” The UK is investing in SABRE engine development for the Skylon spaceplane while the ESA will task British industry to make “sensors for the next generation of EUMETSAT weather satellites.” Macdonald notes there is a “lot going on here and now” when it comes to space development in Scotland, such as developing a “infra-red sensor package” for the Webb telescope. However, Macdonald said the country will have to “wait a bit” to send anyone into space as even British astronaut Tim Peake will not head to the ISS before 2015. Peake is expected to be at the conference to present the first “Scouts Astronautics Activity Badge.”"
,318,"BBC News (11/30, Amos) reports, ""The UK government is to kick-start an innovative project to fly radar satellites around the Earth, with an initial investment of £21m."" Chancellor George Osborne announced the project as ""part of a £200m boost for science"" that is expected to be supplemented by industry. Surrey Satellite Technology Limited (SSTL) and Astrium are developing the space radar and so far ""have produced a compact radar platform they believe could win many overseas orders, and are keen to demonstrate its capabilities in space."" The first NovaSar-S satellite could be launched in a couple of years if it proceeds as planned. Meanwhile, the article notes that ""British space firms have been identified by ministers as an important area for growth in the economy."""
,319,"BBC News (10/2, Coppinger) reported, ""Virgin Galactic s satellite launching rocket LauncherOne that once attracted $110m in investment is now in doubt"" with the manager Adam Baker leaving the company. ""Baker left Virgin Galactic last month and there is no clear explanation from the company as to why the project is not set to follow"" President Will Whitehorn s ""timetable"" of launching satellites a year after operations begin. CEO George Whitesides ""rejected the suggestion that the US government s technology export laws had in anyway contributed to the project s lack of progress."""
,320,"Via Satellite (8/27, Henry) profiled Delta-V, a new space industry accelerator, which wants to develop a “$1 billion commercial space industry in Australia.” The article noted that one of the projects it has worked on is SkyCube, “a crowdsourced small satellite deployed from the International Space Station (ISS) in January 2014.” According to the article, Delta-V founder Tim Parsons said it was “crucial” that Delta-V courts international markets because Australia is too small to develop a commercial space industry of its own. With officials in companies like Planet Labs and Deep Space Industries having ties to Australia, Parsons expects Australia to one day be among “the top ranks of countries involved in space.”"
,321,"The Moscow (RUS) Times (8/14) reported, “Russia is considering creating a new satellite system for transmitting secret military communications, a space industry insider said, as Russia continues to beef up its defense capacities in a bid to re-emerge as a global military power.” Currently, Roscosmos occasionally relies on NASA infrastructure to communicate with its manned spacecraft. Furthermore, the current draft of the Russian Federal Space Program for 2016 to 2025 includes a $1.8 billion satellite project to restore Russia’s communications capabilities, the Moscow Times reported. Still, that project may not see funding in a final draft of the plan, according to head of satellite system operator Gonets Satellite Systems Dmitry Bakanov"
,322,"RT (RUS) (6/6) reported that Russia and China are considering several joint high-tech projects, which could include the “creation of a new long-range passenger plane to joining forces on a satellite navigation system to compete with American GPS and European Galileo.” Russian Deputy Prime Minister Dmitry Rogozin and Chinese Vice-Premier Wang Yang discussed the range of prospects Friday in Siberian Novosibirsk, wishing to “develop cooperation with BRICS members in defiance of any possible Western sanctions.” Rogozin noted one example of a joint project with China is for “a new long-range wide-hull airliner with an estimated development cost of $7-8 billion."
,323,"The C4ISR & Networks (3/28, Peck) reported that according to ASDReports, the “nano- and microsatellite market” is expected to have a “com£ annual growth rate of 21.8 percent” from now until 2019, bringing the total market value to $1.9 billion at that time. ASDReports found that “price reduction, increasing demand, investments from Silicon Valley, better mission launches and continual decrease in average satellite mass” are the major factors contributing to that growth."
,324,"SPACE (3/20, Wall) reported that a new report unveiled on Tuesday by the U.S. National Research Council (NRC) found that using one of the “donated spy-satellite” telescopes given to NASA by the National Reconnaissance Office (NRO) for the Wide-Field Infrared Survey Telescope (WFIRST) would “significantly enhance” the mission’s scientific return. However, because of the increase in risks with this plan, the costs could increase from $1.8 to $2.1 billion, and possibly more if a coronagraph was added. The article noted that the report did not recommend what kind of design NASA should adopt in the end."
,325,"Reuters (3/12) reports that the Pentagon will increasingly be looking to use smaller satellites and contract with cheaper rocket services, as reflected in the $496 billion FY15 budget request. The Air Force indicates wanting to partner with other countries on smaller satellites with better monitoring capabilities, as a way of cutting costs and staying ahead of the growing orbital debris problem. The article emphasizes that the Air Force will be allowing more competitive bidding for satellite launches, noting that SpaceX, among others, stands to gain from the breakup of ULA’s monopoly."
,326,"Space News (3/6, de Selding, Subscription Publication) reported that deployed U.S. military forces “will begin using the first Inmarsat Global Xpress Ka-band satellite this spring” as part of a pre-operational test to “debug the system and whet the military’s appetite in advance of commercial service starting in July.” The satellite is the first of three for Inmarsat’s mobile broadband network, with the other two planned for launches this year, setting up full network operations in 2015. The article credited Boeing Space and Intelligence Systems with manufacturing the satellite and referred to Inmarsat’s confidence in continued popularity with the military, despite deployment cutbacks. Global Xpress capacity has received interest from Boeing, Honeywell, and Airbus. Inmarsat’s $1.25 billion constellation will reportedly boast greater bandwidth than those of competitors Iridium and Globalstar."
,327,"Reuters(9/27, Shalal-esa) reports that with the impending end to its $15 billion weather forecasting program, which is being constructed by Northrop Grumman Corp., the Pentagon said on Thursday that it’s considering whether to replace that system with smaller, less costly satellites. The article notes that the aim of adopting a program replete with smaller satellites is to curb the threat posed to national security by an attack on one larger satellite. The article notes that in addition to considering several smaller satellites, the Air Force is also considering using hosted payloads, or placing sensors on government or commercial satellites, as an option for the weather program."
,328,"The Los Angeles Times (8/20, Hennigan) reports engineers are working to upgrade the B-52 Stratofortress fleet on a $11.9 billion contract from the US Air Force, including upgrades to a computer system in operation since the early 1980s, which cannot update bombing information mid-flight. Boeing is reportedly upgrading the systems to send and receive information via satellite links, allowing crews to “change mission plans, re-target weapons in flight and interact better with ground forces and other aircraft.” Currently, the Air Force maintains 76 B-52s, down from a peak number of 744. The article takes an extensive look at the bomber plane’s history and notes that it is longest-operating aircraft in Air Force history."
,329,"Bloomberg News (6/28, Levin) reports that at its biggest hub, Memphis, TN, FedEx has gone from having its departures held up to being able to get flights out as fast as they can be lined up since the FAA decided it was safe to have aircraft fly closer together. The changes have cut taxi times by three minutes and has helped the company increase fuel efficiency. Bloomberg News notes that “the FAA’s changes in Memphis are part of its $42 billion NextGen air-traffic makeover intended to replace radar with satellite-based tracking.”"
,330,"The Wall Street Journal (6/17, Pasztor, Subscription Publication) reports FAA official John Hickey expressed his distress at the divergent routes the US and Europe are taking towards modernizing air traffic control networks, the results of which could unbuckle efforts over the past decade to minimize flight delays, improve safety, and reduce travel time and fuel costs. Even as the FAA spends upwards of $1 billion per year on moving current radar systems over to its so-called NextGen satellite-based surveillance system, if the European Aviation Safety Agency’s counterpart system, called Cesar, fails to link with the FAA network then US airlines may have to spend $20 billion between now and 2030 on new equipment. For airlines to make such an investment in the more modern air traffic control systems would require the FAA and industry experts to prove that compromise between American and European aviation standards is possible."
,331,"Space News(6/1, Berger, Subscription Publication) reported the Senate Appropriations Committee has rejected funding for the COSMIC-2 satellite system, a joint project with Taiwan “designed to observe the bending of GPS signals passing through the atmosphere to obtain highly detailed temperature and humidity soundings,” because lawmakers did not think it appropriate to repurpose funds from the 2013 Disaster Relief Appropriations Act. However, a source “said appropriators had not ruled out funding NOAA’s COSMIC-2 contribution through some other means, such as allowing NOAA to reprogram some of the $5 billion in 2013 funds Congress approved for the agency in late March.” The article noted that State officials have said the project is in jeopardy because of the budget issues. Meanwhile, forecasters have been very pleased with the results from the first COSMIC satellite system and companies looking to make a profit say there is a “robust global demand for GPS radio occultation data” that COSMIC-2 would provide."
,332,"Space News (5/11, Ferster, Subscription Publication) reports, “The U.S. Air Force expects to shave nearly $1 billion from its space acquisition portfolio over the next five years, primarily through efficiencies that include reduced oversight of key programs, a senior service official said.” Lt. Gen. Ellen Pawlikowski, commander of Air Force Space and Missile Systems Center, said over half was from the Advanced Extremely High Frequency (AEHF) program following work with contractor Lockheed Martin to improve the production flow. The article notes the efficiencies “also are being applied to other space programs including the Wideband Global Satcom communications system, which like AEHF has made the transition from development to production, Pawlikowski said. Efficiencies are even being applied, albeit to a lesser extent, to the GPS 3 satellite navigation system, which is still in development, she said.”"
,333,"Florida Today (1/31, Halvorson) reports that with this launch complete, ""next up at Cape Canaveral: the March 1 launch of a SpaceX Falcon 9 rocket and a Dragon spacecraft. The flight will be the second of 12 cargo resupply missions SpaceX is launching to the International Space Station under a $1.6 billion NASA contract."""
,334,"Space News (12/29, Jayaraman, Subscription Publication) reported, ""India plans to double its number of on-orbit transponders, bolster its Earth observing fleet and deploy a regional satellite navigation system as part of a five-year government investment program that allocates 397.5 billion rupees ($7.2 billion) to space activities, documents show."" The measure is part of the recently approved 12th five-year plan, which calls on the ISRO to launch 14 telecommunications satellites. However, the article noted ""space was designated to receive 308.8 billion rupees during the previous five-year plan, but only 158.3 billion rupees of that total was actually spent during the period."" Meanwhile, ""in space transportation, the primary focus will be achieving self-sufficiency in satellite launching, the documents show."" This would involve the ISRO launching a Geosynchronous Satellite Launch Vehicle (GSLV) with a indigenous cryogenic upper stage, something that has not been attempted since 2013."
,335,"BBC News (12/27) continued coverage of China opening its Beidou satellite navigation system to the public in the Asia-Pacific region, noting, ""A spokesman said that Beidou is targeting a 70-80% share of the Chinese market in related location services by 2020."" While the system is expected to generate about $32 billion for China by 2015, according to the article, ""it is widely thought another motivation for the project is China s desire not to be reliant on a foreign-operated system that could be turned off at a time of conflict."""
,336,"The Financial Times (11/30, Edgecliffe-Johnson, Subscription Publication) says the Satellite Industry Association estimates that global industry revenues increased an average 9% annually between 2006 and 2011 to $177 billion last year, but growth slowed to about 5% at the end of that period, even though that growth outpaced growth in the telecoms and space industries. Although delivering TV signals represents about two-thirds of satellite operators  revenues, that is changing, since operators now offer web services to airline passengers in flight as well as coverage for offshore platforms and ships in pirated waters. Pacôme Revillon of Euroconsult credited industry growth to rising military demand, advances in satellite broadband and the spread of HDTV, but he estimates that the most recent growth has come from emerging markets."
,337,"The Mashable (11/28) blog reports, ""A comprehensive space weather forecasting system could cost between $1 billion and $2 billion during the next decade, space scientists told members of the House Space, Science and Technology Committee on Wednesday."" Laura Furgione, acting director of the National Weather Service, said that cost includes replacing the Advanced Composition Explorer satellite. Charles Gay, NASA s deputy associate administrator for the Science Mission Directorate, ""testified that research missions the agency s multisatellite Heliophysics Explorer program conducted can be adapted to provide solar, solar wind and near-Earth observations essential for NOAA s space weather forecasting mission. He added NASA has agreed to work with the European Space Agency on a Solar Orbiter Collaboration project that will use a new satellite slated for launch in 2017 to help where solar winds, plasma and magnetic fields originate in the sun s corona"
,338,"Bloomberg News (11/15, Wall) says EADS venture ""deploying a UK military satellite communications system predicted civil customers will gain importance as troops are withdrawn from Afghanistan. ... Next month should see the launch of the last dedicated Skynet 5 satellite built under the 3.6 billion-£ ($5.8 billion) private finance initiative signed in 2003. The final element will follow next year with the launch of the Telesat Anik G1, on which Astrium has acquired the highly secure X-band payload for the military to augment the Skynet 5 satellites."""
,339,"Space News(9/14, De Selding, Subscription Publication) reported, ""Astrium GmbH of Germany will design a robotic system to repair, refuel and dispose of in-orbit satellites and perform other missions in low Earth orbit under a contract with the German Aerospace Center, DLR."" The Deso mission will launch two satellites as the first test, demonstrating one can ""non-destructive"" capture the other before both being guided into the atmosphere. The article notes the ESA ""has been weighing a similar investment that would be done as part of ESA s barter arrangement with NASA relating to the international space station. But this idea appears to have been set aside, for the moment, because of its estimated cost of 1 billion euros or more."""
,340,"NPR (6/30, Sullivan) ""All Things Considered"" interviewed Heidi Cullen, chief climatologist at Climate Central, about how ""thanks to the satellite system developed and maintained by NASA and the National Oceanic and Atmospheric Administration,"" the US is tracking the recent extreme weather events and forest fires. Cullen noted, ""The annual budget for NASA s earth science division has fallen to below $1.5 billion from about two billion a decade ago. So, you know, we re at a place where we should be moving forward and not moving back."" Cullen added that the public has to be told how ""incredibly important"" satellite observations are."
,341,"Broadband TV News (5/22, Clover) reports, ""On the day that Facebook made much noise, Intelsat has filed its own IPO on Friday, bidding to raise around $1.75 billion (€1.37bn) for its common stock."
,342,"Russia s RIA Novosti (2/8) reports, ""Russia may spend 346.5 billion rubles (almost $12 bln) on its Glonass satellite navigation system in 2012-2020, the Kommersant daily said on Wednesday."" According to ""government sources"" a ""draft development program"" had been submitted for approval."
,343,"The New York Times (2/7, Southall, Subscription Publication) adds that the bill speeds ""the modernization of the air traffic control system toward the era of satellite navigation."" The measure ""provides about $16 billion a year for airport construction and expansion...among other items."""
,344,"Bloomberg News (1/20, Capaccio) reports, ""The Pentagon will propose canceling a potential $6.8 billion Army missile program that pits Lockheed Martin Corp. against Raytheon Co., a Northrop Grumman Corp. weather satellite, and an Air Force light-attack aircraft, according to a government official."" Along with the Joint Air-to-Ground Missile and the Light Attack and Armed Reconnaissance aircraft, the Defense Weather Satellite System would be cancelled ""under the fiscal 2013 defense budget to be sent to Congress next month, according to the official, who spoke yesterday on condition of anonymity before Defense Secretary Leon Panetta releases some budget details on Jan. 26."""
,345,"David Axe at the Wired(1/4) ""Danger Room"" blog reports how details are emerging on how the Air Force recovered the AEHF-1 satellite developed by Lockheed Martin from a $2 billion failure that ""would also set back the Pentagon s efforts to revamp its communications infrastructure as battle becomes more bandwidth-intensive."" After launch, the satellite s fuel line was clogged, leaving it in a ""slowly decaying and useless orbit"" until engineers devised a way to slowly raise its orbit over months. In detailing the ""yearlong feat of engineering derring-do,"" Axe notes there were ""new complications"" that could have halted efforts."
,346,"Russia s ITAR-TASS (12./14) reports, ""Some 330 billion rubles will be assigned for the development of the Glonass navigation satellite network in 2012-2020, Federal Space Agency deputy head Anatoly Shilov told a Tuesday press conference."" The article notes that the ""current federal program"" is ending this year and ""further development of the Glonass network will be done under the federal program for 2012-2020. The program is being coordinated with the Economic Development Ministry."""
,347,"Space News (12/3, Leone, Subscription Publication) reported, ""The next-generation US civil polar-orbiting weather satellite program has found more stable footing following passage of a bill that provides nearly $1 billion for the long-delayed effort next year, but concerns about a gap in coverage remain."" Scott Asbury, Joint Polar Satellite System (JPSS) program manager at Ball Aerospace, said after talking with NASA, Ball is ""optimistic"" on steady funding through 2013. Meanwhile, ""NOAA officials are still mulling the requirements for the follow-on JPSS spacecraft. JPSS-2, however, will be awarded through an open competition, rather than sole-sourced to Ball, a NOAA official said."""
,348,"Bloomberg News (11/29, McGarry, Capaccio) reports lawmakers are asking the Obama Administration ""to avoid cutting a more than $7 billion commercial satellite program being developed by GeoEye Inc. and DigitalGlobe Inc."" "
,349,"Space News (11/4, Ferster, Subscription Publication) reports, ""The goals of the US Defense Department s $22 billion GPS modernization effort could be accomplished more quickly and at less cost than currently expected by allocating more resources to receiver upgrades and leveraging a commercial satellite program, "
,350,"Space News (10/29, de Selding, Subscription Publication) reported, ""The head of the German space agency said Oct. 28 Germany remains committed to financing a $2 billion upgrade to Europe s Ariane 5 rocket instead of proceeding directly to a new launcher design when European governments meet in late 2012 to set midterm space policy."" DLR chairman Johann-Dietrich Woerner thinks that because of the economic environment, the ESA has to focus on other matters before exploration, including the Galileo satellite navigational program and the ISS. Meanwhile, ""French Research Minister Laurent Wauquiez, in an Oct. 18 interview in the French financial daily La Tribune, said it will not be before 2012 that France determines whether Ariane 5 [Mid-life Evolution] ME or an Ariane 5 successor should be given priority."""
,351,"The Newport News (VA) Daily Press (10/27, Nealon) reports, ""Hoping to turn the page on what has been a disappointing year for earth science, NASA will launch a $1.5 billion satellite that aims to improve scientists  knowledge of Earth s climate."" NPP follows the failed launch of the Glory satellite eight months ago and ""around the same time, President Barack Obama, facing pressure to reduce federal spending, scrubbed two of NASA s four high-priority earth science projects. The cuts, which include Langley s CLARREO mission, are expected to save $2.4 billion through 2020, NASA officials said."" According to the article, the cuts and the Glory failure has caused a ""dismal year"" for the field."
,352,"NextGen would ""replace an air traffic system based on 60-year-old radar with a satellite-based Global Positioning System (GPS) network that would be far more versatile and efficient,"" but installing it is a very complex task that has airlines afraid that the government will not put it in place in time to cover their expenses. NextGen may cost up to $42 billion and budget concerns have many worried that it will delay the NextGen rollout."
,353,"China s Xinhua (5/19) news agency reports, ""China will launch some eight Beidou navigation satellites by 2012, a leading navigation satellite expert said."" Ran Chengqi, director of China Satellite Navigation System management office, outlined the launch schedule, reportedly predicting ""China s satellite navigation sector would see about 400 billion yuan (61.84 billion US dollars) in annual output value by 2020."""
,354,"Space News (5/16, Brinton, Subscription Publication) reported Langley Research Center scientists ""want to fly a pollution-monitoring sensor on a still-to-be-determined commercial communications satellite bound for geostationary orbit around 2017."" The center is still looking for a ""willing partner"" to host the Earth Venture-2 (EV-2) mission, which the article noted could replicate some of Geostationary Coastal and Air Pollution Events (GEO-CAPE) mission objectives. Jay Al-Saadi, NASA Earth Science Division s GEO-CAPE project scientist, ""is leading an effort to study cheaper options for achieving the GEO-CAPE science"" after a review found the mission in total could cost $1 billion. Langley s Doreen Neil, who is heading the EV-2 proposal, reportedly said ""cultural differences"" are the biggest issues with the proposals, since unlike with government missions, ""delays are less acceptable to commercial firms seeking to maximize profit on their investment in a satellite."""
,355,"ATWOnline (4/28, Karp) reports, ""FAA Administrator Randy Babbitt cautioned that he is  concerned  the level of agency funding called for in the reauthorization bill recently passed by the House of Representatives would be too low and, if enacted, could  degrade  safety and efficiency."" The bill, according to House Transportation and Infrastructure Committee Chairman John Mica (R-FL), ""saves $4 billion by streamlining and consolidating FAA programs and facilities, increasing the use of cost-effective programs, and responsibly increasing the role of the private sector in facility operations."" But yesterday, ""Babbitt pushed the House and Senate to soon pass a unified reauthorization bill that adequately funds the agency and establishes a fiscal path for the full implementation of the satellite-based NextGen ATC system."" He also ""gave a spirited defense of FAA s progress in implementing NextGen."""
,356,"China s Xinhua (4/7) news agency reports, ""The overall global space economy rose to 276.52 billion US dollars in government budgets and commercial revenue in 2010, a 7.7 percent increase over 2009, the Space Foundation reported on Wednesday."" The ""overall growth"" mainly came from satellite television and GPS revenue. ""This definitive overview of the global space industry serves as a valuable resource for government and business leaders, educators, financial analysts, students and space-related businesses, the agency said."""
,357," The bill includes money for implementing NextGen, an improved satellite-based air traffic control system as well as ""$8 billion in airport construction funds."" Democrats have said the bill ""will support 90,000 current or new jobs."" Passage of the bill was assured ""when an agreement was reached to add up to 16 daily round trip flights between Reagan National Airport...and Western states."" The bill would also end ""federally subsidized airline service"" to airports that ""are within 90 miles of a larger airport or serve less than 10 passengers a day."""
,358,"Bloomberg News (2/16, Capaccio) reports Lockheed Martin ""may pay for a failure on its first Advanced Extremely High Frequency satellite that led to the $1.7 billion spacecraft not reaching its orbit, US Air Force officials said today."" A ""blocked fuel line"" was blamed for the failure and now a penalty is being negotiated. Air Force Undersecretary Erin Conaton ""praised the  ingenuity and creativity  of Air Force personnel and said the Lockheed has been  very helpful  in the process of trying to figure out  once the problem happened, how to get this thing safely into orbit. "" The satellite, launched last year, is expected to reach its designated spot in August."
,359,"The Los Angeles Times (1/20, Hennigan) reports on the United Launch Alliance s ""massive"" Delta IV Heavy rocket that could launch today ""carrying a top-secret spy satellite for the US government capable of snapping pictures detailed enough to distinguish the make and model of an automobile thousands of miles below, analysts say."" The article notes ""little is known about what exactly the rocket will be lifting into space - because it is classified - analysts say it is probably a high-powered $1-billion spy satellite. "
,360,"The Wired(1/13, Axe) Danger Room blog reports, ""In the world of secretive Pentagon aerospace projects, none are more sensational than the high-flying, Mach 6 Blackswift. The hypersonic, unmanned Blackswift could become almost anything: a satellite launcher, an SR-71-style spy plane or even a super-evasive - nay, untouchable - bomber. That is, if it could just keep its funding. After many years rumored work, Blackswift stepped into the light in 2007 when the Defense Advanced Research Projects Agency launched a formal development program, aiming to build two prototypes for a total cost of around $1 billion."
,361,"Russia s RIA Novosti (1/12) reports, ""Russian Prime Minister Vladimir Putin said on Tuesday that the government will spend 115 billion rubles ($3.8 bln) on national space programs in 2011."" Putin ""said that in 2011 Russia planned to launch about 50 spacecraft and adopt a federal program for the development of the Glonass satellite navigation system until 2020."" Meanwhile, ""In the long run, Russia plans to increase its share in the global space market by designing new models of unmanned and manned spacecraft, participating in a large number of international space projects and building a new space center."""
,362,"The Sacramento Business Journal (11/23, Anderson) reports, ""Rocket motors built by Aerojet are pushing the"" Air Force s $2 billion Advanced Extremely High Frequency (AEHF) satellite into a high orbit. Originally intended ""to periodically shake the vehicle to keep helium in its fuel tanks from settling and to help raise the satellite,"" after an engine intended to lift the vehicle in high orbit failed to fire, ""the xenon-fueled electric current motors are the only systems propelling the satellite to its position in space."""
,363,"Space News (11/17, Brinton) reports, ""As part of a proposal to reduce the US government s soaring debt, the nation should freeze the Pentagon s budget, slash its missile defense spending by $5 billion a year and transition to less expensive satellite imagery, a bipartisan debt reduction panel recommended Nov. 17."" The panel was led by former Sen. Pete Domenici and Alice Rivlin, head of the OMB under President Clinton. ""The task force...calls for maintaining the United States  intelligence capabilities but at a reduced cost by consolidating agencies and information technology centers. It also called for the transition to  less expensive satellite imagery,  though it did not provide specifics."""
,364,"The Jewish Herald-Voice (9/24, Duke) reports in Israel, ""the Netanyahu administration reportedly is placing a major thrust on space research and development. The aim is to boost sales of Israel s miniaturized space platforms to nearly $8 billion a year over the next several years, according to Israeli media reports, and to secure a small but significant percentage of the $250-billion-a-year international space market."" Zvi Kaplan, director general of the Israel Space Agency said Israel has a ""generic"" satellite bus that other can use to reportedly ""accommodate a wide variety of payload options, such as optical, hyper- or multi-spectral and radar payloads."" "
